CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36119003800,"Census Tract 38, Westchester County, New York",32543.0000,53047.0000,2966.0000,2964,1006846.0000,856206.0000,743574.0000,578873.0000,474861.0000
1400000US36119005002,"Census Tract 50.02, Westchester County, New York",54545.0000,139107.0000,4708.0000,4482,568450.0000,488611.0000,379158.0000,297698.0000,178916.0000
1400000US36119005300,"Census Tract 53, Westchester County, New York",49028.0000,111615.0000,5363.0000,5403,871598.0000,676914.0000,535064.0000,459446.0000,363858.0000
1400000US36119005500,"Census Tract 55, Westchester County, New York",66934.0000,158417.0000,5634.0000,5564,1014025.0000,773976.0000,622087.0000,491113.0000,404656.0000
1400000US36119006300,"Census Tract 63, Westchester County, New York",19688.0000,31220.0000,6500.0000,6275,672719.0000,556756.0000,461944.0000,361918.0000,282039.0000
1400000US36105952500,"Census Tract 9525, Sullivan County, New York",34384.0000,71682.0000,2389.0000,2509,17328.0000,17328.0000,17328.0000,14973.0000,10279.0000
1400000US36107020100,"Census Tract 201, Tioga County, New York",31706.0000,60859.0000,6060.0000,6161,17993.0000,17993.0000,17993.0000,17993.0000,17993.0000
1400000US36107020300,"Census Tract 203, Tioga County, New York",33589.0000,71964.0000,6727.0000,6738,28173.0000,28173.0000,28173.0000,28173.0000,15589.0000
1400000US36107020402,"Census Tract 204.02, Tioga County, New York",40571.0000,83929.0000,3633.0000,3656,46412.0000,41649.0000,35344.0000,32505.0000,32505.0000
1400000US36103158006,"Census Tract 1580.06, Suffolk County, New York",53393.0000,113542.0000,6405.0000,6511,256116.0000,203245.0000,180600.0000,152031.0000,120550.0000
1400000US36103158102,"Census Tract 1581.02, Suffolk County, New York",34617.0000,75762.0000,4616.0000,4796,286325.0000,247518.0000,223322.0000,186268.0000,137135.0000
